#contig	Length	B0H_VFD_S52_	B0H_VFN_S44_	B0L_VFD_S51_	B0L_VFN_S43_	B2R2H_VFD_S54_	B2R2H_VFN_S46_	B2R2L_VFD_S53_	B2R2L_VFN_S45_	B3R2H_VFD_S55_	B3R2H_VFN_S48_	B3R2L_VFN_S47_	B8R2H_VFD_S57_	B8R2H_VFN_S50_	B8R2L_VFD_S56_	B8R2L_VFN_S49_
VIRSorter_Contig_176-cat_1	12614	7.5564	2.8323	0.0000	0.0000	0.0935	0.0000	0.1827	1.1996	0.0000	0.0000	0.1154	1.3695	1.0543	0.5170	0.7881
VIRSorter_Contig_577-cat_1	12235	8.3779	9.5530	4.0863	1.8709	9.2269	2.3708	2.9343	2.7978	2.7026	1.1109	4.5395	8.5253	1.6212	0.8404	0.5175
VIRSorter_Contig_338-cat_1	11953	14.5154	5.1656	14.5638	14.5465	9.8175	7.5039	10.5077	4.6943	7.0595	4.1205	2.3229	4.6448	2.8393	10.2537	5.0554
VIRSorter_Contig_3272-cat_1	11904	1.3553	2.0385	1.1578	0.9686	0.7573	0.2483	0.8618	0.6036	4.8880	0.8081	0.7078	8.1472	4.4646	2.7242	1.9723
VIRSorter_Contig_4088-cat_1	11892	2.4957	1.7489	3.8718	4.7789	6.5189	1.6081	3.6498	5.3991	5.8058	6.3196	1.2390	10.6939	5.0982	12.8577	8.1410
VIRSorter_Contig_2324-cat_1	11885	0.0692	0.0000	1.3714	0.6519	0.0000	0.0000	8.0036	0.9838	2.7871	0.7134	0.1053	0.6746	0.1569	0.0244	0.1211
VIRSorter_Contig_983-cat_1	11847	3.9670	3.4553	5.5589	11.0198	3.9891	2.7072	3.2641	2.3854	9.3529	3.1137	1.5049	2.8241	2.1028	1.3824	0.9147
VIRSorter_Contig_575-cat_1	11676	3.2102	9.4629	1.7170	0.2772	0.3987	0.9469	1.5523	0.4175	0.0966	0.5039	0.8389	0.3092	0.2481	0.2987	0.5386
VIRSorter_Contig_1367-cat_1	11557	1.0699	1.0372	1.3995	1.3646	7.5105	3.3468	0.8383	0.8655	0.0142	0.0181	0.0664	0.1415	0.6657	0.2374	0.0487
VIRSorter_Contig_3337-cat_1	11522	0.0084	0.0000	0.0086	0.0642	0.3147	0.0000	0.0652	0.0257	0.1679	0.0716	0.0651	10.1122	0.0000	0.1202	0.0855
VIRSorter_Contig_377-cat_1	11395	13.3326	4.9591	1.9787	2.3468	8.9080	4.0589	5.5497	3.8025	3.9039	1.7113	2.7827	7.4007	2.7938	6.5615	4.9948
VIRSorter_Contig_66-cat_1	11329	16.4673	8.1761	0.9969	1.2662	5.9497	4.4320	3.5842	2.3962	4.8269	2.7183	2.0702	8.0281	4.3865	2.1779	1.4301
VIRSorter_Contig_1156-cat_1	11005	0.3722	0.0997	0.2371	0.7428	11.7913	0.3909	0.4527	0.5833	0.7423	0.2153	0.1824	0.2373	0.0245	0.3174	0.1963
VIRSorter_Contig_1364-cat_1	10991	37.5541	22.4488	41.2424	51.6097	36.7226	24.8367	47.7889	43.9866	29.9769	19.6583	19.8196	37.4873	30.6325	63.5374	39.8069
VIRSorter_Contig_2782-cat_1	10911	0.7852	0.0449	0.1953	0.1965	0.4030	0.0000	10.3842	4.4306	16.4044	8.6302	0.0000	11.4387	3.4212	0.2788	0.1605
VIRSorter_Contig_2751-cat_1	10760	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4670	0.9298	15.1503	7.4567	0.0000	0.1010	0.0545	0.0000	0.0000
VIRSorter_Contig_459-cat_1	10475	9.7664	4.9529	11.7076	11.1128	7.2254	5.5678	14.6332	8.0020	5.0819	6.1882	3.6566	9.5228	5.4099	6.8587	4.5294
VIRSorter_Contig_4198-cat_1	10469	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.3018	4.9574
VIRSorter_Contig_3762-cat_1	10465	2.1911	1.1914	2.7877	1.3401	0.0374	0.1954	6.6467	2.7955	9.7709	6.6922	0.0000	14.4821	13.8249	0.0823	0.0736
VIRSorter_Contig_1659-cat_1	10261	0.5554	0.2922	0.0000	0.0000	7.1278	4.4412	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2122-circular-cat_2	42300	1.4495	0.6311	5.1941	5.6456	11.9484	8.4447	14.9236	9.0650	6.6678	1.7586	2.6214	11.5471	9.8892	3.3165	1.8137
VIRSorter_Contig_4316-circular-cat_2	39672	10.6531	6.2825	0.5970	0.9319	0.1136	0.0403	0.1092	0.1881	0.0000	0.0823	0.9740	0.4395	0.2274	13.5608	7.3135
VIRSorter_Contig_3588-circular-cat_2	26268	3.6727	2.5670	2.2883	2.8176	5.9055	3.2462	2.9300	2.2005	7.5267	3.1698	2.1065	15.4498	9.0403	4.4055	2.4842
VIRSorter_Contig_250-circular-cat_2	45492	19.7607	8.1012	15.0585	11.8657	36.9847	20.0260	11.8304	9.1136	3.6372	2.4216	8.0029	9.0154	6.4320	16.5967	10.0015
VIRSorter_Contig_2142-circular-cat_2	76429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.4400	0.2221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1785-circular-cat_2	39625	34.4922	18.7223	8.5711	10.7190	26.6640	14.7419	24.8463	20.9897	0.3611	0.1112	1.7851	0.1724	0.1205	3.9554	2.4280
VIRSorter_Contig_2208-circular-cat_2	34912	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.7381	5.8675	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4125-circular-cat_2	66584	5.2208	2.8851	12.8965	13.1994	11.0073	5.9667	7.5211	6.5779	16.8784	13.3155	6.0040	12.1883	8.5617	24.6046	14.3766
VIRSorter_Contig_1621-circular-cat_2	69494	3.7441	1.7601	6.2262	4.1453	25.4592	9.6840	2.2388	1.6491	5.8879	11.6765	12.9036	3.1341	2.0676	9.6193	7.6526
VIRSorter_Contig_3845-circular-cat_2	43955	0.0039	0.0400	0.0017	0.0000	0.0000	0.0000	0.8965	0.3736	0.1215	0.0237	0.2241	0.0422	10.6282	0.3610	0.0912
VIRSorter_Contig_573-circular-cat_2	57926	42.7822	23.9315	18.0793	16.9412	27.4644	19.0550	16.9544	10.9007	4.6516	2.3184	12.0537	9.1579	5.8915	44.8854	27.6802
VIRSorter_Contig_1088-circular-cat_2	37679	147.9153	82.0833	37.4429	47.6098	202.3271	123.0871	61.7461	41.1302	125.9869	134.1937	55.9603	103.2030	94.7023	357.8179	118.2569
VIRSorter_Contig_2720-circular-cat_2	57254	50.6933	24.7765	28.4111	31.2901	61.0842	41.9173	55.8718	38.1837	24.9328	12.2809	8.4340	16.7443	10.7940	34.2064	18.1842
VIRSorter_Contig_1371-circular-cat_2	78753	17.5389	8.7615	12.1011	11.4149	23.3047	18.1282	20.4196	9.1545	9.4113	4.8324	6.8463	11.2600	6.5941	17.5425	10.1800
VIRSorter_Contig_3480-circular-cat_2	38801	5.9515	3.1657	10.8842	10.8909	17.6396	18.8449	4.3141	3.7513	13.2157	8.5017	2.4447	15.3811	15.6747	0.2169	0.0000
VIRSorter_Contig_1601-circular-cat_2	64602	5.7064	5.7975	8.9499	12.3578	13.8664	4.6399	12.3014	20.3707	4.5745	6.8011	4.5593	2.8145	1.2570	38.6125	24.3577
VIRSorter_Contig_1465-circular-cat_2	67016	0.0616	0.0272	0.1238	0.0284	15.9327	0.0027	0.1144	0.0521	0.0981	0.1548	0.0380	0.0354	0.0553	0.4974	0.5923
VIRSorter_Contig_3053-circular-cat_2	52149	4.8491	5.3424	223.8649	208.1798	86.8951	74.5927	17.1927	6.6068	41.8609	16.6489	83.3578	156.4529	187.8008	46.5357	33.3461
VIRSorter_Contig_858-circular-cat_2	42995	15.8198	8.5952	40.4588	38.2332	14.4759	3.4422	21.4695	15.1741	38.4870	28.1620	17.1175	53.0165	40.1623	37.7332	24.6338
VIRSorter_Contig_4270-circular-cat_2	41359	1.8943	1.4056	0.7084	1.4764	5.9023	2.9315	5.8494	4.5074	2.5902	2.0256	1.5857	2.2414	1.2845	10.8435	6.3359
VIRSorter_Contig_315-circular-cat_2	39036	9.5743	5.4986	6.4328	6.4293	10.0782	7.2546	5.3417	4.6664	1.6150	0.9683	1.8170	2.1829	1.2544	7.1003	3.8941
VIRSorter_Contig_2803-circular-cat_2	43331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.5193	0.8964	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2150-circular-cat_2	40921	3.7500	1.7988	6.0276	8.5716	9.5000	1.9505	27.0132	45.1734	2.9222	3.3769	12.4684	9.6730	2.3699	27.1297	7.8767
VIRSorter_Contig_153-circular-cat_2	68197	17.1379	12.7089	4.9582	2.4544	3.3777	1.9126	10.9418	4.4147	0.1684	0.0523	0.9455	1.1542	3.4455	4.0999	1.2373
VIRSorter_Contig_3605-circular-cat_2	10905	9.0549	5.9867	6.2880	5.9987	15.1380	9.6136	7.7300	7.2062	12.1661	10.5678	4.4017	13.9820	10.5146	5.5316	4.3069
VIRSorter_Contig_871-circular-cat_2	45492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_897-circular-cat_2	46236	13.8611	9.5199	11.4580	12.3644	19.8414	4.5428	6.6314	7.1273	6.4327	4.2286	7.2262	14.0657	8.0700	20.4360	14.0085
VIRSorter_Contig_73-circular-cat_2	57926	0.0370	0.0000	0.0000	0.0019	0.0390	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0181	0.0000
VIRSorter_Contig_4235-circular-cat_2	40752	0.0000	0.0000	1.6353	2.2154	4.0669	2.5124	0.0000	0.0199	0.0000	0.0000	3.7617	0.0000	0.0000	20.5540	14.9359
VIRSorter_Contig_4505-circular-cat_2	57348	1.5684	0.6934	29.8225	32.8408	21.1491	2.0423	68.5322	25.0624	52.7748	16.7714	12.5200	43.8470	27.3167	59.9956	30.6566
VIRSorter_Contig_855-circular-cat_2	52149	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4303-circular-cat_2	46664	5.0800	2.5572	2.5574	2.7004	7.2273	3.8541	4.8264	3.6969	2.4508	1.7130	1.0783	3.0549	1.5319	14.5676	8.0726
VIRSorter_Contig_3526-circular-cat_2	43251	1.7793	0.4983	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.0723	8.3543	0.0000	0.0000
VIRSorter_Contig_437-circular-cat_2	64789	43.5671	114.5609	0.1362	0.0275	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3863-circular-cat_2	41254	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0601	0.0000	0.0000	0.0000	0.0000	11.3840	14.5400	0.0000	0.0000
VIRSorter_Contig_3849-circular-cat_2	43394	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.6103	27.7863	0.0947	0.1869
VIRSorter_Contig_2795-circular-cat_2	39445	0.0000	0.0000	0.0938	0.0000	0.0000	0.0534	12.2376	1.3214	26.5032	7.2016	3.7365	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_578-circular-cat_2	41446	22.0389	21.3079	9.0788	21.2028	26.6720	31.9418	11.0547	20.4577	6.1564	5.7654	14.4630	3.6294	4.9083	30.3186	34.3550
VIRSorter_Contig_2414-circular-cat_2	23535	0.0372	0.1168	0.3556	9.7009	6.6680	1.9286	20.5659	16.8689	13.0610	14.3441	7.0441	0.0000	0.1198	0.6671	1.2818
VIRSorter_Contig_981-circular-cat_2	41656	81.5229	45.7153	90.6967	84.3615	117.5041	92.9427	128.3538	92.5051	82.7789	55.8278	46.4642	89.1076	91.4712	44.4173	27.4295
VIRSorter_Contig_3439-circular-cat_2	43292	0.4644	0.4054	0.0817	0.9192	1.3870	0.5384	0.1081	0.5741	16.9653	2.8322	0.5664	29.4288	11.1774	0.5476	0.1666
VIRSorter_Contig_1673-circular-cat_2	41943	0.0000	0.0000	0.0000	0.0000	16.7240	0.1004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4612-circular-cat_2	74680	16.5250	7.3459	9.7486	10.6127	16.1525	11.7692	12.7630	7.3987	9.0233	6.9778	5.9251	8.2915	6.2085	21.9786	14.1152
VIRSorter_Contig_592-circular-cat_2	24348	11.4614	13.3586	2.4093	2.9091	6.4755	1.8351	0.2540	0.0641	0.6303	1.4779	5.4191	2.1619	1.0461	0.0030	1.3402
VIRSorter_Contig_2213-circular-cat_2	45492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2240-circular-cat_2	43264	60.0667	28.9036	34.6053	34.1619	55.6334	45.1713	36.1599	25.9390	25.4512	19.5502	19.6969	60.6507	46.4465	32.5521	19.3424
VIRSorter_Contig_4516-circular-cat_2	42247	0.1640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5060	0.0000	0.0621	0.0000	0.0000	7.2160	11.2423
VIRSorter_Contig_2253-circular-cat_2	49587	9.6951	5.2107	4.0394	4.9134	1.9058	1.8466	17.1143	15.1807	0.0315	0.0838	1.4822	0.0000	0.0000	4.7332	3.0880
VIRSorter_Contig_187-circular-cat_2	36577	10.4348	5.1097	1.7351	2.1464	8.8925	4.1202	4.7984	3.6548	2.3053	1.5127	1.7686	2.7098	2.0644	4.6242	2.0983
VIRSorter_Contig_3144-circular-cat_2	40005	0.0470	0.0000	3.6489	0.5685	0.0626	0.0000	0.1427	0.0000	0.6559	1.3549	0.0481	24.8732	0.1806	0.0882	0.0000
VIRSorter_Contig_2158-circular-cat_2	47806	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	30.9842	0.4955	1.2720	0.0000	0.5329	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_751-circular-cat_2	42483	12.9467	9.3310	45.5020	3.4202	4.9066	26.8697	7.9332	3.0993	14.9086	2.2306	5.9494	0.9477	1.6603	3.1829	2.0365
VIRSorter_Contig_3497-circular-cat_2	58599	0.5841	0.2324	1.5264	1.5389	2.2367	1.4398	0.4112	0.5925	7.1798	5.5497	1.7576	15.1819	11.2485	10.2190	5.1227
VIRSorter_Contig_1672-circular-cat_2	43543	5.9416	5.9802	19.7514	6.5712	21.4032	13.2926	3.2935	3.2125	5.3275	2.7271	4.7744	11.5285	8.5671	28.7695	12.1291
VIRSorter_Contig_2737-circular-cat_2	34552	2.2239	1.6647	1.2909	1.7590	0.0000	0.0000	5.5503	1.4195	47.1586	7.5377	0.0070	3.6401	2.8880	0.0000	0.0000
VIRSorter_Contig_303-circular-cat_2	40475	11.5887	8.2061	11.1035	12.3777	25.0230	13.2463	16.6228	13.8549	0.6148	0.6203	5.3741	9.7979	7.5451	26.8192	13.8993
VIRSorter_Contig_1647-circular-cat_2	51656	0.0000	0.0000	0.0000	0.0000	52.0415	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0134	0.0000
VIRSorter_Contig_925-circular-cat_2	78753	0.0000	0.0000	0.0000	0.0000	0.0782	0.0000	0.0093	0.0000	0.0036	0.0000	0.0000	0.0000	0.0000	0.0215	0.0000
VIRSorter_Contig_2386-circular-cat_2	42144	13.5224	7.5396	7.1541	7.8220	29.7834	23.1815	34.8770	24.5383	5.5239	3.1873	16.8616	3.3754	3.0973	39.8602	21.0673
VIRSorter_Contig_3603-circular-cat_2	27062	0.0000	0.0000	0.0000	0.0000	0.2313	0.7470	0.0000	0.0000	2.7395	2.2210	0.1637	33.7405	10.4992	0.0000	0.0000
VIRSorter_Contig_2689-circular-cat_2	49295	4.4480	0.6830	0.9915	1.4104	0.4791	0.2104	1.9935	0.6947	37.2352	8.9490	0.1161	2.0195	1.1738	2.1062	0.2851
VIRSorter_Contig_957-circular-cat_2	42995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4093-circular-cat_2	51767	29.2731	18.6943	23.4005	19.4569	24.7398	21.4830	27.2250	19.4333	17.4172	14.4080	9.4663	4.8329	3.1700	14.6180	8.5110
VIRSorter_Contig_1797-circular-cat_2	55255	8.9869	21.7027	60.5875	20.4404	13.6396	23.9754	171.1855	27.8448	33.8871	5.8984	9.8454	5.9781	13.1399	7.2617	7.4147
VIRSorter_Contig_1791-circular-cat_2	65816	7.1102	4.1683	0.5271	0.4428	21.4175	14.1880	7.2255	3.3676	0.0000	0.0000	1.6162	0.0000	0.0000	9.8133	4.5111
VIRSorter_Contig_2513-circular-cat_2	62822	2.5548	1.3323	18.4774	0.6995	7.9635	3.9711	44.0291	6.6362	22.0991	10.7313	9.5701	22.9225	14.2239	12.9200	7.7204
VIRSorter_Contig_4520-circular-cat_2	57926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2733-circular-cat_2	49964	5.7055	6.8255	3.4916	2.8299	0.0115	0.0000	0.3396	0.4397	28.6581	12.7961	0.0000	1.2725	0.4719	6.0328	2.0329
VIRSorter_Contig_1005-circular-cat_2	41447	0.7804	0.3882	0.1739	0.4846	0.6890	0.8701	0.3590	0.4749	0.1182	0.1207	0.3273	0.0851	0.0908	0.8027	0.9493
VIRSorter_Contig_1463-circular-cat_2	38801	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_839-circular-cat_2	55254	0.0000	0.0000	0.0202	0.0293	0.0000	0.0000	0.0532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_327-circular-cat_2	38736	25.3225	5.4737	9.8297	7.2367	3.9403	2.1059	32.0874	10.5505	79.6752	21.3923	3.2684	12.9614	5.6609	5.5456	2.3824
VIRSorter_Contig_1638-circular-cat_2	40733	8.0589	4.1945	6.0902	8.9077	16.7127	8.5328	17.3794	10.8030	7.8733	4.8024	12.5207	7.7501	5.9325	25.6270	11.7997
VIRSorter_Contig_3490-circular-cat_2	47568	6.1665	3.8931	7.7609	9.8584	6.7868	4.8556	34.5808	14.7802	39.7703	16.5645	3.5417	31.5195	18.2247	11.1219	8.9910
VIRSorter_Contig_1572-circular-cat_2	42475	6.5982	5.9256	5.9044	5.8929	18.7968	18.1758	9.8747	0.8060	0.6114	0.0000	0.6353	2.9279	4.1771	1.3099	1.5544
VIRSorter_Contig_396-circular-cat_2	41656	0.0399	0.0008	0.0000	0.1090	0.4481	0.0156	0.0156	0.0452	0.0682	0.0870	0.0032	0.0000	0.0134	0.0000	0.0000
VIRSorter_Contig_3157-circular-cat_2	46697	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3869	0.0559	0.0000	114.7233	103.1652	0.0000	0.0000
VIRSorter_Contig_2948-circular-cat_2	41982	15.8867	9.3677	14.1551	14.7689	16.1429	11.3963	12.4938	11.6860	16.0732	12.5395	5.8002	32.5509	20.6270	18.7004	10.6863
VIRSorter_Contig_841-circular-cat_2	56996	15.5363	15.2103	17.9062	21.6297	27.8578	13.2372	250.0775	57.8431	154.5782	71.8131	38.0028	110.6614	56.0681	89.9114	71.2728
VIRSorter_Contig_590-circular-cat_2	43618	8.4139	7.3505	6.8998	2.4307	0.4092	0.8976	1.8604	1.4242	1.3751	1.2815	1.9003	8.5824	8.2627	3.4279	0.8449
VIRSorter_Contig_1414-circular-cat_2	64116	7.8213	5.3974	13.3685	16.7639	12.7948	9.2619	9.6513	6.7504	9.6375	4.8995	4.9348	10.3974	7.4645	16.1936	13.6633
VIRSorter_Contig_3440-circular-cat_2	44170	9.2677	5.5022	6.3700	8.1234	17.9557	9.7835	4.6601	3.5177	5.6975	2.9471	4.5182	12.2018	10.1076	3.8141	2.4517
VIRSorter_Contig_1470-circular-cat_2	45198	0.3389	0.1179	0.6697	0.4779	34.6012	0.5829	1.1202	0.5407	1.3002	0.8886	0.2554	1.1518	0.4995	0.4514	0.3956
