#contig	Length	B0H_VFD_S52	B0H_VFN_S44	B0L_VFD_S51	B0L_VFN_S43	B2R2H_VFD_S54	B2R2H_VFN_S46	B2R2L_VFD_S53	B2R2L_VFN_S45	B3R2H_VFD_S55	B3R2H_VFN_S48	B3R2L_VFN_S47	B8R2H_VFD_S57	B8R2H_VFN_S50	B8R2L_VFD_S56	B8R2L_VFN_S49
VIRSorter_Contig_2785-circular-cat_1	40235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2382-circular-cat_1	53884	0.0006	0.0005	0.0013	0.0009	0.0010	0.0004	0.0025	0.0012	0.0009	0.0003	0.0003	0.0017	0.0023	0.0015	0.0012
VIRSorter_Contig_4504-circular-cat_1	44894	0.0001	0.0000	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	0.0001	0.0001	0.0002	0.0003	0.0002	0.0002	0.0003
VIRSorter_Contig_1584-circular-cat_1	69585	0.0001	0.0000	0.0003	0.0003	1.8869	0.0001	0.0025	0.0000	0.0000	0.0013	0.0001	0.0001	0.0001	0.0002	0.0039
VIRSorter_Contig_1992-cat_1	82120	0.0001	0.0002	0.0000	0.0001	0.0002	0.0001	0.1822	0.0237	0.0008	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002
VIRSorter_Contig_3293-cat_1	39934	0.0008	0.0018	0.0406	0.0472	0.0048	0.0013	0.0059	0.0030	0.2230	0.0151	0.0034	0.0735	0.0692	0.0293	0.0033
VIRSorter_Contig_1140-cat_1	26525	0.0005	0.0006	0.0003	0.0007	0.0551	0.0013	0.0016	0.0006	0.0007	0.0005	0.0003	0.0003	0.0008	0.0008	0.0004
VIRSorter_Contig_3758-cat_1	21491	0.0000	0.0007	0.0127	0.0114	0.0017	0.0007	0.0026	0.0011	0.0849	0.0057	0.0012	0.0300	0.0305	0.0104	0.0012
VIRSorter_Contig_2370-cat_1	19385	0.1019	0.0571	0.1162	0.1421	0.1682	0.1067	0.1769	0.1746	0.0899	0.0838	0.0573	0.1538	0.1195	0.3234	0.1907
VIRSorter_Contig_246-cat_1	18139	0.1176	0.0732	0.1060	0.0958	0.1153	0.0731	0.1458	0.1067	0.1493	0.0935	0.0665	0.1588	0.1123	0.2044	0.1280
VIRSorter_Contig_1000-cat_1	15543	0.0022	0.0019	0.0030	0.0683	0.0012	0.0024	0.0021	0.0017	0.0057	0.0021	0.0003	0.0022	0.0023	0.0032	0.0019
VIRSorter_Contig_3740-cat_1	15274	0.0676	0.0342	0.0784	0.0925	0.1158	0.0708	0.1230	0.1040	0.0623	0.0491	0.0379	0.1059	0.0802	0.2217	0.1252
VIRSorter_Contig_2609-cat_1	14798	0.0019	0.0012	0.0070	0.0065	0.0037	0.0005	0.0134	0.0084	0.0535	0.0475	0.0008	0.0014	0.0012	0.0009	0.0011
VIRSorter_Contig_2035-cat_1	14555	0.0207	0.0152	0.0284	0.0215	0.3714	0.0471	0.0772	0.0667	0.0376	0.0258	0.0757	0.0320	0.0174	0.0655	0.0418
VIRSorter_Contig_4367-cat_1	14333	0.0245	0.0293	0.0943	0.0782	0.0299	0.0135	0.0421	0.0177	0.0936	0.0440	0.0135	0.0354	0.0400	0.0664	0.0409
VIRSorter_Contig_1915-cat_1	13856	0.0012	0.0001	0.0004	0.0008	0.0051	0.0025	0.0610	0.0272	0.0022	0.0004	0.0003	0.0009	0.0005	0.0007	0.0020
VIRSorter_Contig_3505-cat_1	13665	0.0054	0.0049	0.0112	0.0108	0.0476	0.0271	0.0170	0.0124	0.0252	0.0222	0.0106	0.0757	0.0392	0.0089	0.0044
VIRSorter_Contig_2998-cat_1	13549	0.1000	0.0784	0.1281	0.1368	0.0923	0.0401	0.0886	0.0686	0.1052	0.0788	0.0722	0.2213	0.1210	0.1081	0.0717
VIRSorter_Contig_1455-cat_1	13539	0.0109	0.0090	0.0065	0.0031	0.1106	0.0288	0.0101	0.0106	0.0108	0.0095	0.0080	0.0050	0.0028	0.0240	0.0136
VIRSorter_Contig_3305-cat_1	13353	0.0275	0.0124	0.0283	0.0302	0.0487	0.0210	0.0564	0.0418	0.0245	0.0271	0.0205	0.0603	0.0297	0.0416	0.0295
VIRSorter_Contig_3233-cat_1	13194	0.0072	0.0012	0.0023	0.0027	0.0047	0.0041	0.0032	0.0014	0.0097	0.0058	0.0027	0.0451	0.0264	0.0274	0.0139
VIRSorter_Contig_1709-cat_1	13152	0.0113	0.0144	0.0131	0.0106	0.0414	0.0680	0.0138	0.0072	0.0413	0.0086	0.0115	0.0146	0.0094	0.0124	0.0077
VIRSorter_Contig_4060-cat_1	12991	0.0433	0.0393	0.0485	0.0560	0.0838	0.0602	0.0727	0.0593	0.0614	0.0428	0.0121	0.0206	0.0238	0.0851	0.0460
VIRSorter_Contig_2641-cat_1	12883	0.0086	0.0113	0.0255	0.0213	0.0133	0.0104	0.0383	0.0043	0.0609	0.0084	0.0042	0.0234	0.0103	0.0093	0.0077
VIRSorter_Contig_176-cat_1	12614	0.0541	0.0216	0.0002	0.0005	0.0019	0.0009	0.0024	0.0095	0.0003	0.0002	0.0021	0.0110	0.0085	0.0047	0.0068
VIRSorter_Contig_577-cat_1	12235	0.0610	0.0685	0.0300	0.0146	0.0686	0.0182	0.0230	0.0217	0.0208	0.0094	0.0335	0.0615	0.0128	0.0079	0.0056
VIRSorter_Contig_338-cat_1	11953	0.1033	0.0385	0.1040	0.1021	0.0714	0.0572	0.0760	0.0355	0.0511	0.0305	0.0191	0.0352	0.0207	0.0717	0.0376
VIRSorter_Contig_3272-cat_1	11904	0.0107	0.0156	0.0096	0.0085	0.0072	0.0027	0.0075	0.0052	0.0355	0.0068	0.0064	0.0582	0.0315	0.0207	0.0158
VIRSorter_Contig_4088-cat_1	11892	0.0186	0.0136	0.0289	0.0350	0.0481	0.0132	0.0274	0.0389	0.0434	0.0471	0.0101	0.0789	0.0381	0.0926	0.0586
VIRSorter_Contig_2324-cat_1	11885	0.0015	0.0008	0.0109	0.0060	0.0005	0.0007	0.0580	0.0088	0.0205	0.0069	0.0015	0.0065	0.0020	0.0012	0.0017
VIRSorter_Contig_983-cat_1	11847	0.0302	0.0256	0.0407	0.0788	0.0294	0.0198	0.0234	0.0181	0.0669	0.0226	0.0116	0.0221	0.0154	0.0107	0.0082
VIRSorter_Contig_575-cat_1	11676	0.0239	0.0675	0.0130	0.0031	0.0040	0.0077	0.0121	0.0044	0.0021	0.0050	0.0066	0.0039	0.0027	0.0030	0.0055
VIRSorter_Contig_1367-cat_1	11557	0.0089	0.0089	0.0116	0.0112	0.0552	0.0247	0.0073	0.0073	0.0014	0.0010	0.0012	0.0026	0.0057	0.0035	0.0017
VIRSorter_Contig_3337-cat_1	11522	0.0009	0.0003	0.0010	0.0017	0.0081	0.0013	0.0014	0.0016	0.0028	0.0016	0.0014	0.0722	0.0009	0.0022	0.0017
VIRSorter_Contig_377-cat_1	11395	0.0933	0.0355	0.0161	0.0179	0.0633	0.0299	0.0402	0.0283	0.0303	0.0137	0.0207	0.0532	0.0206	0.0470	0.0372
VIRSorter_Contig_66-cat_1	11329	0.1173	0.0583	0.0087	0.0106	0.0433	0.0337	0.0278	0.0204	0.0373	0.0222	0.0163	0.0599	0.0337	0.0195	0.0135
VIRSorter_Contig_1156-cat_1	11005	0.0034	0.0016	0.0029	0.0072	0.0840	0.0041	0.0042	0.0060	0.0063	0.0028	0.0022	0.0035	0.0010	0.0038	0.0025
VIRSorter_Contig_1364-cat_1	10991	0.2612	0.1567	0.2898	0.3584	0.2587	0.1735	0.3300	0.3052	0.2100	0.1390	0.1386	0.2580	0.2136	0.4390	0.2808
VIRSorter_Contig_2782-cat_1	10911	0.0065	0.0011	0.0022	0.0027	0.0043	0.0005	0.0741	0.0314	0.1179	0.0633	0.0004	0.0803	0.0253	0.0028	0.0020
VIRSorter_Contig_2751-cat_1	10760	0.0004	0.0000	0.0001	0.0002	0.0007	0.0000	0.0115	0.0079	0.1074	0.0525	0.0006	0.0023	0.0013	0.0006	0.0002
VIRSorter_Contig_459-cat_1	10475	0.0682	0.0361	0.0834	0.0778	0.0526	0.0407	0.1021	0.0576	0.0368	0.0442	0.0263	0.0663	0.0389	0.0482	0.0325
VIRSorter_Contig_4198-cat_1	10469	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0379	0.0355
VIRSorter_Contig_3762-cat_1	10465	0.0170	0.0098	0.0210	0.0108	0.0011	0.0026	0.0487	0.0209	0.0695	0.0488	0.0009	0.1028	0.0993	0.0014	0.0015
VIRSorter_Contig_1659-cat_1	10261	0.0051	0.0031	0.0002	0.0000	0.0521	0.0322	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0004	0.0006
VIRSorter_Contig_2122-circular-cat_2	42300	0.0112	0.0063	0.0378	0.0410	0.0852	0.0609	0.1064	0.0654	0.0484	0.0138	0.0197	0.0827	0.0705	0.0248	0.0143
VIRSorter_Contig_4316-circular-cat_2	39672	0.0763	0.0452	0.0058	0.0080	0.0019	0.0012	0.0017	0.0025	0.0008	0.0016	0.0084	0.0044	0.0027	0.0965	0.0526
VIRSorter_Contig_3588-circular-cat_2	26268	0.0274	0.0189	0.0171	0.0209	0.0425	0.0242	0.0217	0.0164	0.0531	0.0241	0.0158	0.1093	0.0643	0.0324	0.0185
VIRSorter_Contig_250-circular-cat_2	45492	0.1420	0.0585	0.1086	0.0861	0.2678	0.1448	0.0869	0.0654	0.0281	0.0187	0.0587	0.0653	0.0470	0.1199	0.0729
VIRSorter_Contig_2142-circular-cat_2	76429	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000	0.2402	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006
VIRSorter_Contig_1785-circular-cat_2	39625	0.2434	0.1311	0.0618	0.0772	0.1884	0.1053	0.1733	0.1473	0.0039	0.0015	0.0140	0.0023	0.0018	0.0291	0.0190
VIRSorter_Contig_2208-circular-cat_2	34912	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.1678	0.0430	0.0006	0.0001	0.0000	0.0000	0.0001	0.0000	0.0000
VIRSorter_Contig_4125-circular-cat_2	66584	0.0378	0.0213	0.0931	0.0953	0.0797	0.0437	0.0540	0.0476	0.1213	0.0958	0.0434	0.0870	0.0614	0.1757	0.1034
VIRSorter_Contig_1621-circular-cat_2	69494	0.0282	0.0140	0.0457	0.0309	0.1886	0.0707	0.0175	0.0134	0.0433	0.0856	0.0938	0.0237	0.0158	0.0701	0.0565
VIRSorter_Contig_3845-circular-cat_2	43955	0.0008	0.0013	0.0010	0.0009	0.0006	0.0008	0.0086	0.0038	0.0020	0.0010	0.0031	0.0015	0.0765	0.0038	0.0017
VIRSorter_Contig_573-circular-cat_2	57926	0.3079	0.1721	0.1297	0.1216	0.1972	0.1369	0.1217	0.0790	0.0338	0.0178	0.0877	0.0655	0.0433	0.3206	0.1991
VIRSorter_Contig_1088-circular-cat_2	37679	1.0497	0.5788	0.2638	0.3362	1.4423	0.8731	0.4363	0.2881	0.8935	0.9518	0.3984	0.7261	0.6718	2.5289	0.8400
VIRSorter_Contig_2720-circular-cat_2	57254	0.3521	0.1718	0.1985	0.2177	0.4283	0.2917	0.3871	0.2638	0.1748	0.0876	0.0603	0.1177	0.0775	0.2391	0.1280
VIRSorter_Contig_1371-circular-cat_2	78753	0.1257	0.0623	0.0872	0.0813	0.1670	0.1294	0.1443	0.0659	0.0680	0.0354	0.0491	0.0799	0.0477	0.1246	0.0733
VIRSorter_Contig_3480-circular-cat_2	38801	0.0433	0.0242	0.0779	0.0783	0.1249	0.1350	0.0320	0.0279	0.0939	0.0608	0.0183	0.1100	0.1118	0.0025	0.0007
VIRSorter_Contig_1601-circular-cat_2	64602	0.0423	0.0423	0.0643	0.0882	0.1013	0.0340	0.0884	0.1449	0.0335	0.0503	0.0337	0.0213	0.0102	0.2753	0.1751
VIRSorter_Contig_1465-circular-cat_2	67016	0.0013	0.0011	0.0018	0.0012	0.1135	0.0009	0.0019	0.0012	0.0018	0.0020	0.0012	0.0012	0.0012	0.0047	0.0052
VIRSorter_Contig_3053-circular-cat_2	52149	0.0363	0.0395	1.5823	1.4670	0.6191	0.5326	0.1227	0.0486	0.2963	0.1202	0.5888	1.1016	1.3395	0.3317	0.2392
VIRSorter_Contig_858-circular-cat_2	42995	0.1140	0.0616	0.2872	0.2715	0.1032	0.0254	0.1513	0.1086	0.2696	0.2023	0.1231	0.3736	0.2877	0.2674	0.1759
VIRSorter_Contig_4270-circular-cat_2	41359	0.0147	0.0111	0.0064	0.0119	0.0425	0.0219	0.0422	0.0338	0.0195	0.0155	0.0125	0.0171	0.0105	0.0773	0.0455
VIRSorter_Contig_315-circular-cat_2	39036	0.0687	0.0397	0.0466	0.0460	0.0725	0.0521	0.0387	0.0334	0.0129	0.0082	0.0140	0.0165	0.0102	0.0511	0.0289
VIRSorter_Contig_2803-circular-cat_2	43331	0.0000	0.0000	0.0001	0.0004	0.0004	0.0000	0.0001	0.0002	0.1341	0.0077	0.0000	0.0001	0.0000	0.0000	0.0000
VIRSorter_Contig_2150-circular-cat_2	40921	0.0275	0.0141	0.0436	0.0607	0.0685	0.0155	0.1924	0.3161	0.0226	0.0253	0.0893	0.0698	0.0178	0.1924	0.0567
VIRSorter_Contig_153-circular-cat_2	68197	0.1220	0.0880	0.0359	0.0183	0.0247	0.0146	0.0776	0.0322	0.0025	0.0014	0.0082	0.0094	0.0253	0.0301	0.0102
VIRSorter_Contig_3605-circular-cat_2	10905	0.0639	0.0429	0.0454	0.0434	0.1068	0.0686	0.0558	0.0525	0.0873	0.0754	0.0326	0.0984	0.0751	0.0400	0.0317
VIRSorter_Contig_871-circular-cat_2	45492	0.0009	0.0002	0.0008	0.0005	0.0010	0.0011	0.0006	0.0006	0.0004	0.0001	0.0001	0.0002	0.0003	0.0008	0.0006
VIRSorter_Contig_897-circular-cat_2	46236	0.0975	0.0676	0.0808	0.0867	0.1394	0.0332	0.0464	0.0510	0.0464	0.0305	0.0520	0.0991	0.0575	0.1432	0.0982
VIRSorter_Contig_73-circular-cat_2	57926	0.0034	0.0016	0.0013	0.0017	0.0027	0.0012	0.0013	0.0007	0.0008	0.0005	0.0006	0.0009	0.0006	0.0026	0.0021
VIRSorter_Contig_4235-circular-cat_2	40752	0.0003	0.0002	0.0127	0.0167	0.0306	0.0188	0.0031	0.0012	0.0014	0.0008	0.0279	0.0009	0.0007	0.1487	0.1089
VIRSorter_Contig_4505-circular-cat_2	57348	0.0123	0.0064	0.2121	0.2332	0.1512	0.0158	0.4867	0.1769	0.3767	0.1208	0.0898	0.3095	0.1974	0.4268	0.2195
VIRSorter_Contig_855-circular-cat_2	52149	0.0001	0.0004	0.0078	0.0080	0.0030	0.0027	0.0005	0.0002	0.0021	0.0008	0.0038	0.0054	0.0092	0.0015	0.0012
VIRSorter_Contig_4303-circular-cat_2	46664	0.0362	0.0191	0.0189	0.0200	0.0529	0.0288	0.0350	0.0267	0.0186	0.0133	0.0093	0.0228	0.0121	0.1026	0.0576
VIRSorter_Contig_3526-circular-cat_2	43251	0.0136	0.0049	0.0002	0.0001	0.0000	0.0000	0.0001	0.0000	0.0005	0.0001	0.0000	0.1492	0.0609	0.0000	0.0000
VIRSorter_Contig_437-circular-cat_2	64789	0.3312	0.8507	0.0020	0.0013	0.0001	0.0000	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0000	0.0001
VIRSorter_Contig_3863-circular-cat_2	41254	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0004	0.0000	0.0000	0.0000	0.0811	0.1040	0.0000	0.0000
VIRSorter_Contig_3849-circular-cat_2	43394	0.0001	0.0002	0.0004	0.0002	0.0002	0.0003	0.0007	0.0004	0.0010	0.0002	0.0002	0.3956	0.1952	0.0018	0.0026
VIRSorter_Contig_2795-circular-cat_2	39445	0.0000	0.0008	0.0017	0.0007	0.0008	0.0020	0.1319	0.0163	0.1892	0.0520	0.0300	0.0006	0.0012	0.0000	0.0002
VIRSorter_Contig_578-circular-cat_2	41446	0.1535	0.1484	0.0643	0.1481	0.1858	0.2209	0.0771	0.1418	0.0442	0.0417	0.1012	0.0270	0.0357	0.2092	0.2405
VIRSorter_Contig_2414-circular-cat_2	23535	0.0010	0.0018	0.0037	0.0716	0.0535	0.0199	0.1460	0.1197	0.0933	0.1032	0.0510	0.0011	0.0037	0.0060	0.0105
VIRSorter_Contig_981-circular-cat_2	41656	0.5816	0.3248	0.6458	0.5975	0.8376	0.6611	0.9092	0.6534	0.5945	0.3963	0.3299	0.6267	0.6489	0.3160	0.1965
VIRSorter_Contig_3439-circular-cat_2	43292	0.0043	0.0039	0.0018	0.0080	0.0117	0.0049	0.0018	0.0058	0.1207	0.0219	0.0053	0.2104	0.0809	0.0050	0.0022
VIRSorter_Contig_1673-circular-cat_2	41943	0.0000	0.0000	0.0000	0.0000	0.1195	0.0019	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003
VIRSorter_Contig_4612-circular-cat_2	74680	0.1185	0.0529	0.0702	0.0758	0.1151	0.0847	0.0912	0.0529	0.0649	0.0512	0.0426	0.0598	0.0456	0.1559	0.1017
VIRSorter_Contig_592-circular-cat_2	24348	0.0822	0.0950	0.0183	0.0224	0.0472	0.0141	0.0031	0.0016	0.0060	0.0114	0.0391	0.0164	0.0085	0.0009	0.0108
VIRSorter_Contig_2213-circular-cat_2	45492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2240-circular-cat_2	43264	0.4344	0.2065	0.2490	0.2439	0.4055	0.3234	0.2608	0.1839	0.1924	0.1406	0.1417	0.4313	0.3326	0.2358	0.1389
VIRSorter_Contig_4516-circular-cat_2	42247	0.0033	0.0012	0.0008	0.0017	0.0017	0.0009	0.0014	0.0005	0.0060	0.0014	0.0018	0.0011	0.0008	0.0531	0.0815
VIRSorter_Contig_2253-circular-cat_2	49587	0.0687	0.0375	0.0297	0.0362	0.0154	0.0143	0.1223	0.1076	0.0012	0.0016	0.0121	0.0010	0.0008	0.0351	0.0229
VIRSorter_Contig_187-circular-cat_2	36577	0.0742	0.0368	0.0134	0.0165	0.0635	0.0301	0.0346	0.0268	0.0178	0.0121	0.0139	0.0205	0.0156	0.0340	0.0160
VIRSorter_Contig_3144-circular-cat_2	40005	0.0031	0.0016	0.0274	0.0063	0.0035	0.0019	0.0037	0.0017	0.0081	0.0124	0.0020	0.1770	0.0039	0.0035	0.0018
VIRSorter_Contig_2158-circular-cat_2	47806	0.0000	0.0001	0.0001	0.0001	0.0000	0.0000	0.2246	0.0051	0.0112	0.0007	0.0055	0.0002	0.0000	0.0000	0.0000
VIRSorter_Contig_751-circular-cat_2	42483	0.0923	0.0677	0.3200	0.0256	0.0374	0.1890	0.0571	0.0229	0.1058	0.0174	0.0435	0.0082	0.0130	0.0234	0.0161
VIRSorter_Contig_3497-circular-cat_2	58599	0.0052	0.0027	0.0121	0.0124	0.0173	0.0115	0.0042	0.0052	0.0518	0.0407	0.0138	0.1087	0.0815	0.0741	0.0377
VIRSorter_Contig_1672-circular-cat_2	43543	0.0489	0.0484	0.1436	0.0517	0.1573	0.0964	0.0273	0.0271	0.0401	0.0215	0.0530	0.0879	0.0656	0.2108	0.0899
VIRSorter_Contig_2737-circular-cat_2	34552	0.0167	0.0133	0.0107	0.0140	0.0005	0.0001	0.0412	0.0118	0.3434	0.0545	0.0010	0.0270	0.0219	0.0000	0.0001
VIRSorter_Contig_303-circular-cat_2	40475	0.0848	0.0590	0.0815	0.0896	0.1789	0.0955	0.1197	0.1000	0.0059	0.0058	0.0397	0.0707	0.0545	0.1924	0.1001
VIRSorter_Contig_1647-circular-cat_2	51656	0.0004	0.0004	0.0002	0.0004	0.3693	0.0004	0.0008	0.0004	0.0004	0.0003	0.0003	0.0005	0.0001	0.0016	0.0004
VIRSorter_Contig_925-circular-cat_2	78753	0.0021	0.0008	0.0017	0.0016	0.0039	0.0021	0.0032	0.0014	0.0019	0.0008	0.0010	0.0018	0.0014	0.0023	0.0014
VIRSorter_Contig_2386-circular-cat_2	42144	0.0953	0.0550	0.0518	0.0550	0.2115	0.1631	0.2456	0.1718	0.0401	0.0235	0.1192	0.0253	0.0229	0.2795	0.1499
VIRSorter_Contig_3603-circular-cat_2	27062	0.0007	0.0008	0.0007	0.0006	0.0042	0.0074	0.0008	0.0007	0.0233	0.0177	0.0030	0.2387	0.0753	0.0027	0.0017
VIRSorter_Contig_2689-circular-cat_2	49295	0.0329	0.0063	0.0095	0.0123	0.0057	0.0033	0.0206	0.0123	0.2767	0.0656	0.0021	0.0223	0.0127	0.0188	0.0036
VIRSorter_Contig_957-circular-cat_2	42995	0.0008	0.0003	0.0016	0.0017	0.0006	0.0002	0.0009	0.0007	0.0027	0.0013	0.0010	0.0026	0.0019	0.0013	0.0009
VIRSorter_Contig_4093-circular-cat_2	51767	0.2084	0.1326	0.1662	0.1385	0.1772	0.1542	0.1924	0.1372	0.1234	0.1030	0.0669	0.0352	0.0236	0.1041	0.0619
VIRSorter_Contig_1797-circular-cat_2	55255	0.0654	0.1522	0.4297	0.1452	0.0985	0.1715	1.2085	0.1959	0.2403	0.0429	0.0715	0.0436	0.0949	0.0528	0.0539
VIRSorter_Contig_1791-circular-cat_2	65816	0.0508	0.0303	0.0049	0.0043	0.1533	0.1019	0.0517	0.0246	0.0004	0.0002	0.0126	0.0002	0.0004	0.0704	0.0328
VIRSorter_Contig_2513-circular-cat_2	62822	0.0193	0.0103	0.1327	0.0067	0.0574	0.0293	0.3134	0.0483	0.1570	0.0769	0.0683	0.1635	0.1023	0.0930	0.0559
VIRSorter_Contig_4520-circular-cat_2	57926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2733-circular-cat_2	49964	0.0427	0.0499	0.0267	0.0216	0.0012	0.0001	0.0035	0.0045	0.2154	0.0928	0.0002	0.0103	0.0045	0.0437	0.0155
VIRSorter_Contig_1005-circular-cat_2	41447	0.0169	0.0128	0.0070	0.0161	0.0198	0.0226	0.0100	0.0158	0.0049	0.0047	0.0104	0.0031	0.0038	0.0208	0.0259
VIRSorter_Contig_1463-circular-cat_2	38801	0.0004	0.0002	0.0005	0.0009	0.0019	0.0011	0.0001	0.0001	0.0011	0.0008	0.0001	0.0012	0.0012	0.0001	0.0000
VIRSorter_Contig_839-circular-cat_2	55254	0.0010	0.0017	0.0040	0.0026	0.0012	0.0019	0.0097	0.0018	0.0024	0.0005	0.0007	0.0006	0.0006	0.0006	0.0006
VIRSorter_Contig_327-circular-cat_2	38736	0.1791	0.0392	0.0696	0.0523	0.0294	0.0160	0.2272	0.0744	0.5622	0.1504	0.0239	0.0909	0.0412	0.0396	0.0180
VIRSorter_Contig_1638-circular-cat_2	40733	0.0586	0.0313	0.0449	0.0644	0.1203	0.0620	0.1269	0.0786	0.0598	0.0355	0.0899	0.0557	0.0436	0.1809	0.0848
VIRSorter_Contig_3490-circular-cat_2	47568	0.0450	0.0290	0.0559	0.0708	0.0503	0.0362	0.2461	0.1055	0.2842	0.1195	0.0263	0.2229	0.1312	0.0801	0.0656
VIRSorter_Contig_1572-circular-cat_2	42475	0.0476	0.0429	0.0429	0.0423	0.1338	0.1293	0.0707	0.0072	0.0059	0.0008	0.0058	0.0218	0.0308	0.0106	0.0122
VIRSorter_Contig_396-circular-cat_2	41656	0.0063	0.0039	0.0051	0.0070	0.0129	0.0064	0.0087	0.0068	0.0067	0.0052	0.0042	0.0060	0.0071	0.0025	0.0027
VIRSorter_Contig_3157-circular-cat_2	46697	0.0002	0.0001	0.0000	0.0003	0.0002	0.0000	0.0006	0.0003	0.0046	0.0015	0.0002	0.8035	0.7245	0.0004	0.0001
VIRSorter_Contig_2948-circular-cat_2	41982	0.1157	0.0678	0.1029	0.1081	0.1176	0.0829	0.0908	0.0842	0.1219	0.0907	0.0426	0.2344	0.1502	0.1356	0.0794
VIRSorter_Contig_841-circular-cat_2	56996	0.1086	0.1080	0.1269	0.1530	0.1983	0.0946	1.7484	0.4036	1.0814	0.5063	0.2679	0.7732	0.3959	0.6269	0.4999
VIRSorter_Contig_590-circular-cat_2	43618	0.0656	0.0583	0.0624	0.0227	0.0061	0.0110	0.0180	0.0149	0.0149	0.0120	0.0299	0.0681	0.0666	0.0348	0.0098
VIRSorter_Contig_1414-circular-cat_2	64116	0.0564	0.0387	0.0958	0.1187	0.0913	0.0668	0.0691	0.0481	0.0696	0.0358	0.0355	0.0744	0.0531	0.1142	0.0978
VIRSorter_Contig_3440-circular-cat_2	44170	0.0659	0.0401	0.0460	0.0583	0.1284	0.0697	0.0335	0.0259	0.0425	0.0216	0.0331	0.0866	0.0715	0.0282	0.0185
VIRSorter_Contig_1470-circular-cat_2	45198	0.0041	0.0027	0.0073	0.0056	0.2551	0.0063	0.0116	0.0062	0.0134	0.0095	0.0039	0.0111	0.0065	0.0065	0.0052
