#contig	Length	B0H_VFD_S52	B0H_VFN_S44	B0L_VFD_S51	B0L_VFN_S43	B2R2H_VFD_S54	B2R2H_VFN_S46	B2R2L_VFD_S53	B2R2L_VFN_S45	B3R2H_VFD_S55	B3R2H_VFN_S48	B3R2L_VFN_S47	B8R2H_VFD_S57	B8R2H_VFN_S50	B8R2L_VFD_S56	B8R2L_VFN_S49
VIRSorter_Contig_4060-cat_1	12991	563.0000	510.0000	630.0000	727.0000	1088.0000	782.0000	944.0000	771.0000	797.0000	556.0000	157.0000	267.0000	309.0000	1105.0000	597.0000
VIRSorter_Contig_2641-cat_1	12883	111.0000	145.0000	328.0000	274.0000	171.0000	134.0000	494.0000	56.0000	784.0000	108.0000	54.0000	302.0000	133.0000	120.0000	99.0000
VIRSorter_Contig_176-cat_1	12614	683.0000	272.0000	2.0000	6.0000	24.0000	11.0000	30.0000	120.0000	4.0000	2.0000	26.0000	139.0000	107.0000	59.0000	86.0000
VIRSorter_Contig_577-cat_1	12235	746.0000	838.0000	367.0000	179.0000	839.0000	223.0000	281.0000	266.0000	255.0000	115.0000	410.0000	752.0000	156.0000	97.0000	68.0000
VIRSorter_Contig_338-cat_1	11953	1235.0000	460.0000	1243.0000	1220.0000	854.0000	684.0000	908.0000	424.0000	611.0000	364.0000	228.0000	421.0000	248.0000	857.0000	450.0000
VIRSorter_Contig_3272-cat_1	11904	127.0000	186.0000	114.0000	101.0000	86.0000	32.0000	89.0000	62.0000	422.0000	81.0000	76.0000	693.0000	375.0000	247.0000	188.0000
VIRSorter_Contig_4088-cat_1	11892	221.0000	162.0000	344.0000	416.0000	572.0000	157.0000	326.0000	463.0000	516.0000	560.0000	120.0000	938.0000	453.0000	1101.0000	697.0000
VIRSorter_Contig_2324-cat_1	11885	18.0000	9.0000	129.0000	71.0000	6.0000	8.0000	689.0000	104.0000	244.0000	82.0000	18.0000	77.0000	24.0000	14.0000	20.0000
VIRSorter_Contig_983-cat_1	11847	358.0000	303.0000	482.0000	934.0000	348.0000	234.0000	277.0000	214.0000	792.0000	268.0000	138.0000	262.0000	182.0000	127.0000	97.0000
VIRSorter_Contig_575-cat_1	11676	279.0000	788.0000	152.0000	36.0000	47.0000	90.0000	141.0000	51.0000	24.0000	58.0000	77.0000	46.0000	32.0000	35.0000	64.0000
VIRSorter_Contig_1367-cat_1	11557	103.0000	103.0000	134.0000	130.0000	638.0000	285.0000	84.0000	84.0000	16.0000	12.0000	14.0000	30.0000	66.0000	40.0000	20.0000
VIRSorter_Contig_3337-cat_1	11522	10.0000	4.0000	12.0000	20.0000	93.0000	15.0000	16.0000	18.0000	32.0000	19.0000	16.0000	832.0000	10.0000	25.0000	20.0000
VIRSorter_Contig_377-cat_1	11395	1063.0000	405.0000	184.0000	204.0000	721.0000	341.0000	458.0000	322.0000	345.0000	156.0000	236.0000	606.0000	235.0000	535.0000	424.0000
VIRSorter_Contig_66-cat_1	11329	1329.0000	660.0000	98.0000	120.0000	490.0000	382.0000	315.0000	231.0000	423.0000	252.0000	185.0000	679.0000	382.0000	221.0000	153.0000
VIRSorter_Contig_1156-cat_1	11005	37.0000	18.0000	32.0000	79.0000	924.0000	45.0000	46.0000	66.0000	69.0000	31.0000	24.0000	39.0000	11.0000	42.0000	27.0000
VIRSorter_Contig_1364-cat_1	10991	2871.0000	1722.0000	3185.0000	3939.0000	2843.0000	1907.0000	3627.0000	3355.0000	2308.0000	1528.0000	1523.0000	2836.0000	2348.0000	4825.0000	3086.0000
VIRSorter_Contig_2782-cat_1	10911	71.0000	12.0000	24.0000	30.0000	47.0000	6.0000	809.0000	343.0000	1286.0000	691.0000	4.0000	876.0000	276.0000	31.0000	22.0000
VIRSorter_Contig_2751-cat_1	10760	4.0000	0.0000	1.0000	2.0000	7.0000	0.0000	124.0000	85.0000	1156.0000	565.0000	6.0000	25.0000	14.0000	6.0000	2.0000
VIRSorter_Contig_459-cat_1	10475	714.0000	378.0000	874.0000	815.0000	551.0000	426.0000	1069.0000	603.0000	386.0000	463.0000	276.0000	694.0000	408.0000	505.0000	340.0000
VIRSorter_Contig_4198-cat_1	10469	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	0.0000	397.0000	372.0000
VIRSorter_Contig_3762-cat_1	10465	178.0000	103.0000	220.0000	113.0000	12.0000	27.0000	510.0000	219.0000	727.0000	511.0000	9.0000	1076.0000	1039.0000	15.0000	16.0000
VIRSorter_Contig_1659-cat_1	10261	52.0000	32.0000	2.0000	0.0000	535.0000	330.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	4.0000	6.0000
VIRSorter_Contig_2122-circular-cat_2	42300	472.0000	267.0000	1601.0000	1736.0000	3605.0000	2578.0000	4502.0000	2767.0000	2048.0000	584.0000	834.0000	3499.0000	2982.0000	1051.0000	606.0000
VIRSorter_Contig_4316-circular-cat_2	39672	3028.0000	1795.0000	230.0000	318.0000	76.0000	47.0000	66.0000	100.0000	32.0000	64.0000	334.0000	174.0000	108.0000	3827.0000	2086.0000
VIRSorter_Contig_3588-circular-cat_2	26268	720.0000	496.0000	449.0000	550.0000	1116.0000	636.0000	570.0000	430.0000	1394.0000	634.0000	416.0000	2872.0000	1690.0000	852.0000	486.0000
VIRSorter_Contig_250-circular-cat_2	45492	6460.0000	2662.0000	4942.0000	3917.0000	12181.0000	6588.0000	3952.0000	2976.0000	1280.0000	852.0000	2670.0000	2969.0000	2138.0000	5456.0000	3316.0000
VIRSorter_Contig_2142-circular-cat_2	76429	4.0000	26.0000	0.0000	2.0000	0.0000	2.0000	18362.0000	220.0000	2.0000	0.0000	2.0000	0.0000	0.0000	0.0000	46.0000
VIRSorter_Contig_1785-circular-cat_2	39625	9644.0000	5195.0000	2448.0000	3060.0000	7467.0000	4173.0000	6868.0000	5836.0000	154.0000	60.0000	556.0000	90.0000	70.0000	1152.0000	752.0000
VIRSorter_Contig_2208-circular-cat_2	34912	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	5858.0000	1502.0000	22.0000	4.0000	0.0000	0.0000	2.0000	0.0000	0.0000
VIRSorter_Contig_4125-circular-cat_2	66584	2520.0000	1416.0000	6198.0000	6345.0000	5307.0000	2910.0000	3596.0000	3169.0000	8074.0000	6382.0000	2888.0000	5790.0000	4091.0000	11698.0000	6885.0000
VIRSorter_Contig_1621-circular-cat_2	69494	1958.0000	976.0000	3173.0000	2144.0000	13109.0000	4916.0000	1213.0000	930.0000	3008.0000	5946.0000	6517.0000	1644.0000	1098.0000	4874.0000	3924.0000
VIRSorter_Contig_3845-circular-cat_2	43955	36.0000	56.0000	46.0000	39.0000	25.0000	35.0000	376.0000	167.0000	89.0000	44.0000	137.0000	68.0000	3361.0000	169.0000	74.0000
VIRSorter_Contig_573-circular-cat_2	57926	17835.0000	9967.0000	7511.0000	7043.0000	11421.0000	7930.0000	7051.0000	4578.0000	1956.0000	1032.0000	5083.0000	3794.0000	2511.0000	18569.0000	11533.0000
VIRSorter_Contig_1088-circular-cat_2	37679	39553.0000	21808.0000	9940.0000	12669.0000	54343.0000	32897.0000	16438.0000	10857.0000	33666.0000	35864.0000	15012.0000	27360.0000	25314.0000	95286.0000	31651.0000
VIRSorter_Contig_2720-circular-cat_2	57254	20161.0000	9837.0000	11367.0000	12464.0000	24520.0000	16703.0000	22161.0000	15103.0000	10007.0000	5013.0000	3450.0000	6740.0000	4439.0000	13691.0000	7327.0000
VIRSorter_Contig_1371-circular-cat_2	78753	9902.0000	4904.0000	6865.0000	6405.0000	13153.0000	10189.0000	11367.0000	5186.0000	5357.0000	2789.0000	3867.0000	6295.0000	3760.0000	9810.0000	5769.0000
VIRSorter_Contig_3480-circular-cat_2	38801	1680.0000	938.0000	3022.0000	3040.0000	4847.0000	5239.0000	1240.0000	1082.0000	3643.0000	2360.0000	710.0000	4269.0000	4339.0000	96.0000	26.0000
VIRSorter_Contig_1601-circular-cat_2	64602	2730.0000	2733.0000	4154.0000	5700.0000	6544.0000	2197.0000	5713.0000	9361.0000	2162.0000	3248.0000	2176.0000	1373.0000	661.0000	17788.0000	11312.0000
VIRSorter_Contig_1465-circular-cat_2	67016	86.0000	72.0000	120.0000	79.0000	7609.0000	62.0000	129.0000	80.0000	122.0000	137.0000	83.0000	81.0000	81.0000	313.0000	350.0000
VIRSorter_Contig_3053-circular-cat_2	52149	1891.0000	2061.0000	82513.0000	76501.0000	32287.0000	27774.0000	6401.0000	2534.0000	15452.0000	6268.0000	30705.0000	57447.0000	69851.0000	17300.0000	12472.0000
VIRSorter_Contig_858-circular-cat_2	42995	4902.0000	2650.0000	12349.0000	11671.0000	4436.0000	1091.0000	6503.0000	4670.0000	11592.0000	8696.0000	5294.0000	16061.0000	12368.0000	11498.0000	7563.0000
VIRSorter_Contig_4270-circular-cat_2	41359	610.0000	461.0000	264.0000	494.0000	1758.0000	906.0000	1746.0000	1397.0000	808.0000	643.0000	516.0000	706.0000	433.0000	3195.0000	1883.0000
VIRSorter_Contig_315-circular-cat_2	39036	2682.0000	1549.0000	1820.0000	1795.0000	2829.0000	2032.0000	1511.0000	1305.0000	504.0000	322.0000	546.0000	646.0000	399.0000	1993.0000	1128.0000
VIRSorter_Contig_2803-circular-cat_2	43331	0.0000	2.0000	4.0000	18.0000	16.0000	0.0000	6.0000	8.0000	5809.0000	335.0000	0.0000	4.0000	0.0000	2.0000	0.0000
VIRSorter_Contig_2150-circular-cat_2	40921	1125.0000	576.0000	1785.0000	2485.0000	2803.0000	636.0000	7873.0000	12937.0000	925.0000	1036.0000	3653.0000	2856.0000	728.0000	7875.0000	2320.0000
VIRSorter_Contig_153-circular-cat_2	68197	8320.0000	6001.0000	2449.0000	1245.0000	1684.0000	995.0000	5293.0000	2194.0000	170.0000	98.0000	556.0000	642.0000	1723.0000	2053.0000	699.0000
VIRSorter_Contig_3605-circular-cat_2	10905	697.0000	468.0000	495.0000	473.0000	1165.0000	748.0000	608.0000	573.0000	952.0000	822.0000	355.0000	1073.0000	819.0000	436.0000	346.0000
VIRSorter_Contig_871-circular-cat_2	45492	40.0000	8.0000	38.0000	22.0000	47.0000	50.0000	26.0000	26.0000	16.0000	4.0000	6.0000	10.0000	14.0000	36.0000	26.0000
VIRSorter_Contig_897-circular-cat_2	46236	4509.0000	3125.0000	3735.0000	4008.0000	6447.0000	1535.0000	2144.0000	2357.0000	2144.0000	1409.0000	2405.0000	4580.0000	2658.0000	6620.0000	4542.0000
VIRSorter_Contig_73-circular-cat_2	57926	197.0000	90.0000	75.0000	99.0000	154.0000	68.0000	73.0000	42.0000	46.0000	30.0000	36.0000	54.0000	37.0000	151.0000	121.0000
VIRSorter_Contig_4235-circular-cat_2	40752	12.0000	7.0000	519.0000	680.0000	1247.0000	766.0000	128.0000	47.0000	58.0000	34.0000	1137.0000	37.0000	29.0000	6059.0000	4436.0000
VIRSorter_Contig_4505-circular-cat_2	57348	703.0000	367.0000	12166.0000	13373.0000	8671.0000	905.0000	27913.0000	10145.0000	21603.0000	6927.0000	5152.0000	17750.0000	11320.0000	24474.0000	12588.0000
VIRSorter_Contig_855-circular-cat_2	52149	4.0000	22.0000	405.0000	417.0000	159.0000	142.0000	28.0000	10.0000	108.0000	42.0000	199.0000	279.0000	479.0000	79.0000	64.0000
VIRSorter_Contig_4303-circular-cat_2	46664	1688.0000	893.0000	884.0000	935.0000	2467.0000	1344.0000	1631.0000	1248.0000	869.0000	620.0000	432.0000	1062.0000	565.0000	4788.0000	2687.0000
VIRSorter_Contig_3526-circular-cat_2	43251	590.0000	212.0000	8.0000	4.0000	2.0000	0.0000	4.0000	2.0000	23.0000	4.0000	2.0000	6453.0000	2634.0000	0.0000	0.0000
VIRSorter_Contig_437-circular-cat_2	64789	21459.0000	55117.0000	128.0000	85.0000	6.0000	3.0000	4.0000	4.0000	10.0000	4.0000	9.0000	6.0000	4.0000	2.0000	5.0000
VIRSorter_Contig_3863-circular-cat_2	41254	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	64.0000	16.0000	0.0000	0.0000	0.0000	3344.0000	4292.0000	0.0000	0.0000
VIRSorter_Contig_3849-circular-cat_2	43394	4.0000	7.0000	16.0000	8.0000	7.0000	11.0000	29.0000	16.0000	45.0000	8.0000	8.0000	17168.0000	8469.0000	78.0000	113.0000
VIRSorter_Contig_2795-circular-cat_2	39445	1.0000	33.0000	69.0000	28.0000	31.0000	80.0000	5203.0000	641.0000	7462.0000	2053.0000	1184.0000	23.0000	49.0000	0.0000	7.0000
VIRSorter_Contig_578-circular-cat_2	41446	6364.0000	6149.0000	2667.0000	6139.0000	7699.0000	9154.0000	3195.0000	5877.0000	1830.0000	1728.0000	4196.0000	1118.0000	1481.0000	8670.0000	9969.0000
VIRSorter_Contig_2414-circular-cat_2	23535	23.0000	43.0000	87.0000	1686.0000	1258.0000	469.0000	3437.0000	2817.0000	2195.0000	2429.0000	1201.0000	26.0000	86.0000	142.0000	248.0000
VIRSorter_Contig_981-circular-cat_2	41656	24226.0000	13528.0000	26903.0000	24891.0000	34889.0000	27538.0000	37873.0000	27220.0000	24764.0000	16508.0000	13744.0000	26107.0000	27029.0000	13162.0000	8184.0000
VIRSorter_Contig_3439-circular-cat_2	43292	188.0000	170.0000	76.0000	346.0000	506.0000	214.0000	79.0000	250.0000	5227.0000	947.0000	229.0000	9108.0000	3504.0000	215.0000	95.0000
VIRSorter_Contig_1673-circular-cat_2	41943	0.0000	0.0000	0.0000	2.0000	5011.0000	78.0000	10.0000	0.0000	0.0000	0.0000	2.0000	2.0000	0.0000	4.0000	13.0000
VIRSorter_Contig_4612-circular-cat_2	74680	8848.0000	3949.0000	5245.0000	5664.0000	8595.0000	6326.0000	6808.0000	3947.0000	4848.0000	3820.0000	3179.0000	4469.0000	3404.0000	11643.0000	7596.0000
VIRSorter_Contig_592-circular-cat_2	24348	2002.0000	2313.0000	445.0000	546.0000	1150.0000	344.0000	76.0000	38.0000	146.0000	278.0000	953.0000	400.0000	206.0000	22.0000	264.0000
VIRSorter_Contig_2213-circular-cat_2	45492	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2240-circular-cat_2	43264	18795.0000	8934.0000	10771.0000	10551.0000	17542.0000	13991.0000	11284.0000	7955.0000	8326.0000	6083.0000	6130.0000	18659.0000	14388.0000	10200.0000	6008.0000
VIRSorter_Contig_4516-circular-cat_2	42247	141.0000	50.0000	34.0000	70.0000	70.0000	40.0000	59.0000	22.0000	254.0000	58.0000	78.0000	46.0000	34.0000	2244.0000	3445.0000
VIRSorter_Contig_2253-circular-cat_2	49587	3409.0000	1861.0000	1473.0000	1794.0000	765.0000	707.0000	6063.0000	5337.0000	61.0000	81.0000	602.0000	50.0000	42.0000	1741.0000	1134.0000
VIRSorter_Contig_187-circular-cat_2	36577	2715.0000	1347.0000	490.0000	603.0000	2322.0000	1100.0000	1267.0000	979.0000	652.0000	444.0000	509.0000	748.0000	569.0000	1242.0000	584.0000
VIRSorter_Contig_3144-circular-cat_2	40005	123.0000	64.0000	1096.0000	253.0000	140.0000	76.0000	147.0000	68.0000	325.0000	498.0000	81.0000	7082.0000	157.0000	139.0000	74.0000
VIRSorter_Contig_2158-circular-cat_2	47806	2.0000	4.0000	6.0000	6.0000	0.0000	0.0000	10735.0000	244.0000	537.0000	32.0000	264.0000	10.0000	2.0000	2.0000	2.0000
VIRSorter_Contig_751-circular-cat_2	42483	3922.0000	2878.0000	13594.0000	1086.0000	1587.0000	8030.0000	2427.0000	973.0000	4494.0000	738.0000	1846.0000	349.0000	553.0000	994.0000	685.0000
VIRSorter_Contig_3497-circular-cat_2	58599	302.0000	160.0000	710.0000	727.0000	1013.0000	672.0000	244.0000	304.0000	3034.0000	2383.0000	806.0000	6371.0000	4773.0000	4345.0000	2212.0000
VIRSorter_Contig_1672-circular-cat_2	43543	2130.0000	2106.0000	6252.0000	2250.0000	6848.0000	4196.0000	1190.0000	1180.0000	1744.0000	936.0000	2308.0000	3829.0000	2856.0000	9179.0000	3916.0000
VIRSorter_Contig_2737-circular-cat_2	34552	578.0000	458.0000	371.0000	483.0000	18.0000	2.0000	1423.0000	408.0000	11866.0000	1884.0000	34.0000	933.0000	756.0000	0.0000	4.0000
VIRSorter_Contig_303-circular-cat_2	40475	3434.0000	2389.0000	3299.0000	3626.0000	7242.0000	3864.0000	4845.0000	4049.0000	238.0000	236.0000	1608.0000	2860.0000	2205.0000	7789.0000	4050.0000
VIRSorter_Contig_1647-circular-cat_2	51656	21.0000	19.0000	9.0000	21.0000	19076.0000	20.0000	43.0000	20.0000	19.0000	15.0000	17.0000	25.0000	4.0000	82.0000	21.0000
VIRSorter_Contig_925-circular-cat_2	78753	168.0000	64.0000	133.0000	126.0000	311.0000	165.0000	252.0000	112.0000	146.0000	65.0000	77.0000	141.0000	110.0000	178.0000	114.0000
VIRSorter_Contig_2386-circular-cat_2	42144	4016.0000	2320.0000	2184.0000	2316.0000	8915.0000	6875.0000	10351.0000	7241.0000	1689.0000	991.0000	5024.0000	1066.0000	965.0000	11778.0000	6316.0000
VIRSorter_Contig_3603-circular-cat_2	27062	20.0000	22.0000	20.0000	16.0000	115.0000	199.0000	23.0000	20.0000	630.0000	480.0000	80.0000	6459.0000	2039.0000	74.0000	46.0000
VIRSorter_Contig_2689-circular-cat_2	49295	1620.0000	309.0000	470.0000	604.0000	279.0000	162.0000	1016.0000	607.0000	13641.0000	3236.0000	102.0000	1098.0000	628.0000	925.0000	177.0000
VIRSorter_Contig_957-circular-cat_2	42995	36.0000	13.0000	70.0000	72.0000	26.0000	8.0000	40.0000	32.0000	114.0000	56.0000	43.0000	110.0000	82.0000	55.0000	39.0000
VIRSorter_Contig_4093-circular-cat_2	51767	10788.0000	6862.0000	8606.0000	7168.0000	9171.0000	7982.0000	9958.0000	7103.0000	6387.0000	5331.0000	3465.0000	1822.0000	1220.0000	5390.0000	3206.0000
VIRSorter_Contig_1797-circular-cat_2	55255	3611.0000	8411.0000	23742.0000	8024.0000	5440.0000	9475.0000	66777.0000	10823.0000	13277.0000	2368.0000	3948.0000	2407.0000	5244.0000	2917.0000	2977.0000
VIRSorter_Contig_1791-circular-cat_2	65816	3346.0000	1995.0000	320.0000	280.0000	10092.0000	6705.0000	3403.0000	1616.0000	28.0000	12.0000	828.0000	12.0000	24.0000	4635.0000	2161.0000
VIRSorter_Contig_2513-circular-cat_2	62822	1214.0000	648.0000	8336.0000	418.0000	3605.0000	1841.0000	19691.0000	3036.0000	9861.0000	4832.0000	4293.0000	10272.0000	6425.0000	5844.0000	3513.0000
VIRSorter_Contig_4520-circular-cat_2	57926	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2733-circular-cat_2	49964	2131.0000	2493.0000	1336.0000	1081.0000	61.0000	4.0000	174.0000	226.0000	10763.0000	4639.0000	8.0000	516.0000	227.0000	2183.0000	774.0000
VIRSorter_Contig_1005-circular-cat_2	41447	701.0000	531.0000	290.0000	668.0000	820.0000	937.0000	416.0000	653.0000	204.0000	196.0000	429.0000	128.0000	158.0000	861.0000	1072.0000
VIRSorter_Contig_1463-circular-cat_2	38801	14.0000	6.0000	20.0000	36.0000	73.0000	44.0000	4.0000	2.0000	42.0000	32.0000	2.0000	47.0000	46.0000	2.0000	0.0000
VIRSorter_Contig_839-circular-cat_2	55254	54.0000	93.0000	223.0000	144.0000	66.0000	104.0000	538.0000	100.0000	130.0000	30.0000	38.0000	33.0000	31.0000	34.0000	34.0000
VIRSorter_Contig_327-circular-cat_2	38736	6937.0000	1520.0000	2695.0000	2025.0000	1139.0000	619.0000	8799.0000	2881.0000	21776.0000	5825.0000	927.0000	3522.0000	1595.0000	1534.0000	696.0000
VIRSorter_Contig_1638-circular-cat_2	40733	2388.0000	1273.0000	1828.0000	2623.0000	4900.0000	2524.0000	5169.0000	3203.0000	2434.0000	1444.0000	3662.0000	2267.0000	1776.0000	7368.0000	3453.0000
VIRSorter_Contig_3490-circular-cat_2	47568	2140.0000	1380.0000	2659.0000	3369.0000	2392.0000	1724.0000	11706.0000	5017.0000	13521.0000	5683.0000	1250.0000	10601.0000	6239.0000	3809.0000	3122.0000
VIRSorter_Contig_1572-circular-cat_2	42475	2021.0000	1824.0000	1822.0000	1798.0000	5683.0000	5493.0000	3002.0000	306.0000	252.0000	32.0000	248.0000	924.0000	1308.0000	450.0000	519.0000
VIRSorter_Contig_396-circular-cat_2	41656	264.0000	164.0000	211.0000	291.0000	536.0000	266.0000	364.0000	283.0000	280.0000	216.0000	175.0000	252.0000	297.0000	104.0000	112.0000
